Subject.No.,Version,order,image,Surface,Planar.Straight,Spherical.Straight,Size,pointDistance (radians),pointDistance (degrees),Line.Length,Pull,rotation (degrees),Response,rt
1,1,144,Plane_2_0_.jpg,plane,line,geo,3.174802104,0.349065556,20,1.108182312,0,0,1,0.535549164
1,1,145,gPlane_0_0_5_.jpg,plane,curve,geo,2,0.349065556,20,0.698111111,0.528002078,30.25231619,0,0.602942944
1,1,146,Sphere_3_0_.jpg,sphere,line,geo,4,0.349065556,20,1.396222222,0,0,1,0.768439054
1,1,147,Sphere_2_6_.jpg,sphere,line,geo,3.174802104,2.094393333,120,6.649093873,0,0,1,0.669154882
1,1,148,Sphere_0_0_.jpg,sphere,line,geo,2,0.349065556,20,0.698111111,0,0,1,0.868709087
1,1,149,Sphere_2_4_(Neg)5_.jpg,sphere,line,arc,3.174802104,1.15258907,66.039,3.168934174,0,0,0,0.653069973
1,1,150,Sphere_2_2_.jpg,sphere,line,geo,3.174802104,0.634294209,36.342,2.0137009,0,0,1,0.667990923
1,1,151,Sphere_0_3_3_0_.jpg,sphere,curve,arc,2,0.855032498,48.98979486,1.715396422,0.329458064,18.87657251,1,0.835928917
1,1,152,Plane_3_1_.jpg,plane,line,geo,4,0.470542517,26.96,1.882116149,0,0,1,1.051307917
1,1,153,Sphere_2_1_.jpg,sphere,line,geo,3.174802104,0.470542517,26.96,1.493836577,0,0,1,1.135529041
1,1,154,Sphere_0_5_(Neg)3_.jpg,sphere,line,arc,2,1.553697159,89.02,2.955231849,0,0,0,1.335808992
1,1,155,Plane_0_1_3_0_.jpg,plane,curve,arc,2,0.470542517,26.96012309,0.941968988,0.318687656,18.25947309,0,1.369833946
1,1,156,Sphere_3_1_(Neg)2_1_.jpg,sphere,curve,arc,4,0.470542517,26.96012309,1.882895947,0.361083061,20.68855292,0,0.800812006
1,1,157,Plane_2_1_.jpg,plane,line,geo,3.174802104,0.470542517,26.96,1.493836577,0,0,1,0.619489908
1,1,158,Sphere_2_5_.jpg,sphere,line,geo,3.174802104,1.553697159,89.02,4.9325397,0,0,1,1.036487103
1,1,159,Plane_1_0_.jpg,plane,line,geo,2.5198421,0.349065556,20,0.879564884,0,0,1,5.435849905
1,1,160,gPlane_2_0_(Neg)3_.jpg,plane,curve,geo,3.174802104,0.349065556,20,1.108182312,0.316636791,18.14196709,1,1.335207939
1,1,161,Plane_2_0_(Neg)1_0_.jpg,plane,curve,arc,3.174802104,0.349065556,20,1.108244263,0.105521091,6.045918257,0,0.885957956
1,1,162,Sphere_3_3_.jpg,sphere,line,geo,4,0.855032498,48.99,3.420032012,0,0,1,1.166574001
