subject_no,version,order,image,surface,planar,spherical,line_length,response,reaction_time,size,separation,pull,spin,point_sep_rad,rotation_angle,height
5,5,170,Plane_0_3_.jpg,plane,line,geo,1.7100664402158188,correct,1.019384146,0,3,0,NA,0.8550332201079094,0,0
5,5,173,Plane_0_1_.jpg,plane,line,geo,0.9410858293948081,incorrect,1.053020954,0,1,0,NA,0.47054291469740406,0,0
5,5,177,Plane_2_2_.jpg,plane,line,geo,2.013760290987017,correct,0.919505835,2,2,0,NA,0.634294745014242,0,0
5,5,186,Plane_2_0_.jpg,plane,line,geo,1.1082149962586678,correct,0.750797033,2,0,0,NA,0.34906585039886595,0,0
5,5,196,Plane_2_1_.jpg,plane,line,geo,1.4938806355736838,correct,0.717707157,2,1,0,NA,0.47054291469740406,0,0
8,8,11,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,1.7003180979999999,1,4,0,NA,1.1525900430905907,0,0
8,8,14,Plane_0_2_.jpg,plane,line,geo,1.268589490028484,correct,1.036212921,0,2,0,NA,0.634294745014242,0,0
8,8,27,Plane_3_2_.jpg,plane,line,geo,2.537178980056968,correct,1.101543903,3,2,0,NA,0.634294745014242,0,0
8,8,37,Plane_0_3_.jpg,plane,line,geo,1.7100664402158188,correct,0.786036968,0,3,0,NA,0.8550332201079094,0,0
8,8,42,Plane_3_4_.jpg,plane,line,geo,4.610360172362363,correct,2.335738897,3,4,0,NA,1.1525900430905907,0,0
8,8,46,Plane_0_4_.jpg,plane,line,geo,2.3051800861811813,correct,1.069399834,0,4,0,NA,1.1525900430905907,0,0
8,8,50,Plane_1_1_.jpg,plane,line,geo,1.1856938462122941,correct,0.935264826,1,1,0,NA,0.47054291469740406,0,0
8,8,66,Plane_3_6_.jpg,plane,line,geo,8.37758040957278,correct,0.854272127,3,6,0,NA,2.094395102393195,0,0
8,8,78,Plane_2_4_.jpg,plane,line,geo,3.6592452937801516,correct,0.83734107,2,4,0,NA,1.1525900430905907,0,0
8,8,82,Plane_0_1_.jpg,plane,line,geo,0.9410858293948081,correct,1.287756205,0,1,0,NA,0.47054291469740406,0,0
