subject_no,trial,image,surface,planar,spherical,response,reaction_time,correct_ans,given_ans,size,separation,pull,spin,point_sep_rad,rotation_angle,height,line_length,curvature
36,12,Plane_0_1_.jpg,plane,line,geo,correct,1.786570072,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
36,13,Plane_0_0_.jpg,plane,line,geo,correct,1.43155098,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
36,27,Plane_0_4_.jpg,plane,line,geo,correct,1.947005033,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
36,43,Plane_0_2_.jpg,plane,line,geo,correct,1.705003023,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
36,56,Plane_0_6_.jpg,plane,line,geo,correct,1.939099073,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
37,4,Plane_0_5_.jpg,plane,line,geo,correct,6.707388878,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
37,15,Plane_0_1_.jpg,plane,line,geo,correct,3.562333107,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
37,29,Plane_0_2_.jpg,plane,line,geo,correct,3.839246988,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
37,31,Plane_0_3_.jpg,plane,line,geo,correct,3.024512053,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
37,37,Plane_0_4_.jpg,plane,line,geo,correct,3.134797096,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
37,41,Plane_0_6_.jpg,plane,line,geo,correct,2.834059954,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
37,44,Plane_0_0_.jpg,plane,line,geo,correct,2.711437941,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
38,18,Plane_0_4_.jpg,plane,line,geo,correct,3.478292942,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
38,21,Plane_0_1_.jpg,plane,line,geo,correct,3.064221859,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
38,33,Plane_0_0_.jpg,plane,line,geo,correct,4.895260096,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
38,36,Plane_0_5_.jpg,plane,line,geo,correct,2.212970972,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
38,42,Plane_0_2_.jpg,plane,line,geo,correct,4.797092915,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
38,49,Plane_0_6_.jpg,plane,line,geo,correct,2.281425953,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
38,56,Plane_0_3_.jpg,plane,line,geo,correct,2.366924047,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
39,7,Plane_0_6_.jpg,plane,line,geo,correct,2.502933979,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
39,11,Plane_0_0_.jpg,plane,line,geo,correct,1.936257124,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
39,28,Plane_0_2_.jpg,plane,line,geo,correct,2.036186934,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
39,36,Plane_0_4_.jpg,plane,line,geo,correct,1.869601011,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
